"","Dia","Valor"
"577","16.Apr.2012",484.58
"578","17.Apr.2012",486.95
"579","18.Apr.2012",485.83
"580","19.Apr.2012",487.32
"581","20.Apr.2012",488.96
"582","23.Apr.2012",486.07
"583","24.Apr.2012",489.64
"584","25.Apr.2012",487.15
"585","26.Apr.2012",486.52
"586","27.Apr.2012",484.88
"587","30.Apr.2012",483.41
"588","02.May.2012",484.87
"589","03.May.2012",484.7
"590","04.May.2012",482.12
"591","07.May.2012",482.12
"592","08.May.2012",483.44
"593","09.May.2012",485.54
"594","10.May.2012",490.17
"595","11.May.2012",486.32
"596","14.May.2012",487.8
"597","15.May.2012",491.42
"598","16.May.2012",497.11
"599","17.May.2012",500.77
"600","18.May.2012",503.76
"601","22.May.2012",504.47
"602","23.May.2012",505.46
"603","24.May.2012",510.17
"604","25.May.2012",507.83
"605","28.May.2012",510.56
"606","29.May.2012",510.26
"607","30.May.2012",512.05
"608","31.May.2012",517.91
"609","01.Jun.2012",519.69
"610","04.Jun.2012",519.6
"611","05.Jun.2012",515.58
"612","06.Jun.2012",512.47
"613","07.Jun.2012",508.28
"614","08.Jun.2012",501.74
"615","11.Jun.2012",504.08
"616","12.Jun.2012",501.85
"617","13.Jun.2012",504.03
"618","14.Jun.2012",502.07
"619","15.Jun.2012",501.34
"620","18.Jun.2012",499.09
"621","19.Jun.2012",500.73
"622","20.Jun.2012",495.48
"623","21.Jun.2012",496.66
"624","22.Jun.2012",499.59
"625","25.Jun.2012",503.89
"626","26.Jun.2012",508.1
"627","27.Jun.2012",508.84
"628","28.Jun.2012",505.35
"629","29.Jun.2012",509.73
"630","03.Jul.2012",501.84
"631","04.Jul.2012",496.33
"632","05.Jul.2012",496.18
"633","06.Jul.2012",495.97
"634","09.Jul.2012",499.26
"635","10.Jul.2012",496.89
"636","11.Jul.2012",493.34
"637","12.Jul.2012",492.54
"638","13.Jul.2012",493.87
"639","17.Jul.2012",490.38
"640","18.Jul.2012",488.82
"641","19.Jul.2012",488.42
"642","20.Jul.2012",485.64
"643","23.Jul.2012",487.95
"644","24.Jul.2012",493.1
"645","25.Jul.2012",493.32
"646","26.Jul.2012",492.49
"647","27.Jul.2012",485.88
"648","30.Jul.2012",483.64
"649","31.Jul.2012",482.83
"650","01.Aug.2012",481.94
"651","02.Aug.2012",483.23
"652","03.Aug.2012",484.6
"653","06.Aug.2012",480.52
"654","07.Aug.2012",478.62
"655","08.Aug.2012",477.04
"656","09.Aug.2012",477.07
"657","10.Aug.2012",474.72
"658","13.Aug.2012",477.95
"659","14.Aug.2012",482.02
"660","16.Aug.2012",481.79
"661","17.Aug.2012",483.67
"662","20.Aug.2012",484.17
"663","21.Aug.2012",485.52
"664","22.Aug.2012",482.41
"665","23.Aug.2012",482.11
"666","24.Aug.2012",479.63
"667","27.Aug.2012",481.33
"668","28.Aug.2012",481.12
"669","29.Aug.2012",480.65
"670","30.Aug.2012",480.59
"671","31.Aug.2012",481.17
"672","03.Sep.2012",480.25
"673","04.Sep.2012",481.11
"674","05.Sep.2012",480.93
"675","06.Sep.2012",481.07
"676","07.Sep.2012",477.49
"677","10.Sep.2012",474.98
"678","11.Sep.2012",475.24
"679","12.Sep.2012",474.74
"680","13.Sep.2012",473.54
"681","14.Sep.2012",472.86
"682","20.Sep.2012",469.65
"683","21.Sep.2012",471.58
"684","24.Sep.2012",472.01
"685","25.Sep.2012",475.52
"686","26.Sep.2012",471.19
"687","27.Sep.2012",471.88
"688","28.Sep.2012",470.48
"689","01.Oct.2012",473.77
"690","02.Oct.2012",473.08
"691","03.Oct.2012",472.77
"692","04.Oct.2012",473.41
"693","05.Oct.2012",472.76
"694","08.Oct.2012",472.37
"695","09.Oct.2012",474.47
"696","10.Oct.2012",474.01
"697","11.Oct.2012",475.02
"698","12.Oct.2012",472.8
"699","16.Oct.2012",472.95
"700","17.Oct.2012",471.54
"701","18.Oct.2012",472.19
"702","19.Oct.2012",472.56
"703","22.Oct.2012",474.25
"704","23.Oct.2012",475.67
